cidade;estado;populacao;idh;num familias bolsa famila
abadia de goias;goias;6301;0.708;917
abadia dos dourados;minas gerais;6805;0.689;308
abadiania;goias;13378;0.689;700
abaete;minas gerais;23258;0.698;602
abaetetuba;para;139819;0.628;31858
abaiara;ceara;11077;0.628;1894
abaira;bahia;8821;0.603;1678
abare;bahia;18831;0.575;4022
abatia;parana;7928;0.687;348
abdon batista;santa catarina;2805;0.694;124
abel figueiredo;para;6967;0.622;1145
abelardo luz;santa catarina;16899;0.696;1516
abre campo;minas gerais;13177;0.654;1138
abreu e lima;pernambuco;96266;0.679;15944
abreulandia;tocantins;2321;0.665;250
acaiaca;minas gerais;4234;0.63;563
acailandia;maranhao;101130;0.672;9776
acajutiba;bahia;15192;0.582;2783
acara;para;48501;0.506;10802
acarape;ceara;15627;0.606;1898
acarau;ceara;54753;0.601;10375
acari;rio grande do norte;11215;0.679;1258
acaua;piaui;7354;0.528;1293
acegua;rio grande do sul;4347;0.687;183
acopiara;ceara;50784;0.595;8974
acorizal;mato grosso;5659;0.628;689
acrelandia;acre;12241;0.604;1826
acreuna;goias;19246;0.686;836
acu;rio grande do norte;53282;0.661;6517
acucena;minas gerais;11409;0.61;834
adamantina;sao paulo;34424;0.79;284
adelandia;goias;2608;0.702;178
adolfo;sao paulo;3710;0.73;162
adrianopolis;parana;6856;0.667;433
adustina;bahia;15448;0.546;3233
afogados da ingazeira;pernambuco;35528;0.657;5038
afonso bezerra;rio grande do norte;10594;0.585;2060
afonso claudio;espirito santo;31384;0.667;2529
afonso cunha;maranhao;5948;0.529;1370
afranio;pernambuco;17445;0.588;4458
afua;para;32633;0.489;7028
agrestina;pernambuco;22591;0.592;4220
agricolandia;piaui;5094;0.599;963
agrolandia;santa catarina;9661;0.725;79
agronomica;santa catarina;4925;0.741;23
agua azul do norte;para;31216;0.564;2720
agua boa;minas gerais;16643;0.576;2303
agua boa;mato grosso;20276;0.729;652
agua branca;alagoas;19989;0.639;2294
agua branca;piaui;16518;0.572;1648
agua branca;paraiba;9581;0.549;2904
agua clara;mato grosso do sul;13879;0.67;874
agua comprida;minas gerais;2164;0.675;151
agua doce;santa catarina;6959;0.698;65
agua doce do maranhao;maranhao;12460;0.5;2502
